"Local"; "População no último censo"; "IDH"
"Angra dos Reis"; "169,5 mil"; 0.8
"Aperibé"; "10,2 mil"; 0.7
"Araruama"; "112,0 mil"; 0.6
"Areal"; "11,4 mil"; 0.7
"Armação dos Búzios"; "27,6 mil"; 0.9
"Arraial do Cabo"; "27,7 mil"; 0.7
"Barra do Piraí"; "94,8 mil"; 0.5
"Barra Mansa"; "177,8 mil"; 0.7
"Belford Roxo"; "469,3 mil"; 0.9
"Bom Jardim"; "25,3 mil"; 0.8
"Bom Jesus do Itabapoana"; "35,4 mil"; 0.6
"Cabo Frio"; "186,2 mil"; 0.6
"Cachoeiras de Macacu"; "54,3 mil"; 0.8
"Cambuci"; "14,8 mil"; 0.8
"Carapebus"; "13,4 mil"; 0.6
"Comendador Levy Gasparian"; "8,2 mil"; 0.9
"Campos dos Goytacazes"; "463,7 mil"; 0.9
"Cantagalo"; "19,8 mil"; 0.6
"Cardoso Moreira"; "12,6 mil"; 0.7
"Carmo"; "17,4 mil"; 0.7
"Casimiro de Abreu"; "35,3 mil"; 0.5
"Conceição de Macabu"; "21,2 mil"; 0.8
"Cordeiro"; "20,4 mil"; 0.8
"Duas Barras"; "10,9 mil"; 0.5
"Duque de Caxias"; "855,0 mil"; 0.5
"Engenheiro Paulo de Frontin"; "13,2 mil"; 0.7
"Guapimirim"; "51,5 mil"; 0.8
"Iguaba Grande"; "22,9 mil"; 0.7
"Itaboraí"; "218,0 mil"; 0.8
"Itaguaí"; "109,1 mil"; 0.7
"Italva"; "14,1 mil"; 0.8
"Itaocara"; "22,9 mil"; 0.8
"Itaperuna"; "95,8 mil"; 0.7
"Itatiaia"; "28,8 mil"; 0.6
"Japeri"; "95,5 mil"; 0.8
"Laje do Muriaé"; "7,5 mil"; 0.5
"Macaé"; "206,7 mil"; 0.6
"Macuco"; "5,3 mil"; 0.7
"Magé"; "227,3 mil"; 0.8
"Mangaratiba"; "36,5 mil"; 0.9
"Maricá"; "127,5 mil"; 0.8
"Mendes"; "17,9 mil"; 0.5
"Mesquita"; "168,4 mil"; 0.8
"Miguel Pereira"; "24,6 mil"; 0.7
"Miracema"; "26,8 mil"; 0.7
"Natividade"; "15,1 mil"; 0.9
"Nilópolis"; "157,4 mil"; 0.7
"Niterói"; "487,6 mil"; 0.8
"Nova Friburgo"; "182,1 mil"; 0.5
"Nova Iguaçu"; "796,3 mil"; 0.9
"Paracambi"; "47,1 mil"; 0.7
"Paraíba do Sul"; "41,1 mil"; 0.6
"Paraty"; "37,5 mil"; 0.6
"Paty do Alferes"; "26,4 mil"; 0.7
"Petrópolis"; "295,9 mil"; 0.8
"Pinheiral"; "22,7 mil"; 0.6
"Piraí"; "26,3 mil"; 0.8
"Porciúncula"; "17,8 mil"; 0.6
"Porto Real"; "16,6 mil"; 0.8
"Quatis"; "12,8 mil"; 0.9
"Queimados"; "138,0 mil"; 0.5
"Quissamã"; "20,2 mil"; 0.7
"Resende"; "119,8 mil"; 0.8
"Rio Bonito"; "55,6 mil"; 0.7
"Rio Claro"; "17,4 mil"; 0.7
"Rio das Flores"; "8,6 mil"; 0.5
"Rio das Ostras"; "105,7 mil"; 0.8
"Rio de Janeiro"; "6320,4 mil"; 0.8
"Santa Maria Madalena"; "10,3 mil"; 0.6
"Santo Antônio de Pádua"; "40,6 mil"; 0.6
"São Francisco de Itabapoana"; "41,4 mil"; 0.5
"São Fidélis"; "37,5 mil"; 0.7
"São Gonçalo"; "999,7 mil"; 0.8
"São João da Barra"; "32,7 mil"; 0.5
"São João de Meriti"; "458,7 mil"; 0.7
"São José de Ubá"; "7,0 mil"; 0.7
"São José do Vale do Rio Preto"; "20,3 mil"; 0.8
"São Pedro da Aldeia"; "87,9 mil"; 0.6
"São Sebastião do Alto"; "8,9 mil"; 0.8
"Sapucaia"; "17,5 mil"; 0.8
"Saquarema"; "74,2 mil"; 0.7
"Seropédica"; "78,2 mil"; 0.5
"Silva Jardim"; "21,3 mil"; 0.7
"Sumidouro"; "14,9 mil"; 0.9
"Tanguá"; "30,7 mil"; 0.6
"Teresópolis"; "163,7 mil"; 0.8
"Trajano de Moraes"; "10,3 mil"; 0.7
"Três Rios"; "77,4 mil"; 0.5
"Valença"; "71,8 mil"; 0.9
"Varre-Sai"; "9,5 mil"; 0.5
"Vassouras"; "34,4 mil"; 0.6
"Volta Redonda"; "257,8 mil"; 0.6
