"Local"; "População no último censo"
"Angra dos Reis"; 169511
"Aperibé"; 10213
"Araruama"; 112008
"Areal"; 11423
"Armação dos Búzios"; 27560
"Arraial do Cabo"; 27715
"Barra do Piraí"; 94778
"Barra Mansa"; 177813
"Belford Roxo"; 469332
"Bom Jardim"; 25333
"Bom Jesus do Itabapoana"; 35411
"Cabo Frio"; 186227
"Cachoeiras de Macacu"; 54273
"Cambuci"; 14827
"Carapebus"; 13359
"Comendador Levy Gasparian"; 8180
"Campos dos Goytacazes"; 463731
"Cantagalo"; 19830
"Cardoso Moreira"; 12600
"Carmo"; 17434
"Casimiro de Abreu"; 35347
"Conceição de Macabu"; 21211
"Cordeiro"; 20430
"Duas Barras"; 10930
"Duque de Caxias"; 855048
"Engenheiro Paulo de Frontin"; 13237
"Guapimirim"; 51483
"Iguaba Grande"; 22851
"Itaboraí"; 218008
"Itaguaí"; 109091
"Italva"; 14063
"Itaocara"; 22899
"Itaperuna"; 95841
"Itatiaia"; 28783
"Japeri"; 95492
"Laje do Muriaé"; 7487
"Macaé"; 206728
"Macuco"; 5269
"Magé"; 227322
"Mangaratiba"; 36456
"Maricá"; 127461
"Mendes"; 17935
"Mesquita"; 168376
"Miguel Pereira"; 24642
"Miracema"; 26843
"Natividade"; 15082
"Nilópolis"; 157425
"Niterói"; 487562
"Nova Friburgo"; 182082
"Nova Iguaçu"; 796257
"Paracambi"; 47124
"Paraíba do Sul"; 41084
"Paraty"; 37533
"Paty do Alferes"; 26359
"Petrópolis"; 295917
"Pinheiral"; 22719
"Piraí"; 26314
"Porciúncula"; 17760
"Porto Real"; 16592
"Quatis"; 12793
"Queimados"; 137962
"Quissamã"; 20242
"Resende"; 119769
"Rio Bonito"; 55551
"Rio Claro"; 17425
"Rio das Flores"; 8561
"Rio das Ostras"; 105676
"Rio de Janeiro"; 6320446
"Santa Maria Madalena"; 10321
"Santo Antônio de Pádua"; 40589
"São Francisco de Itabapoana"; 41354
"São Fidélis"; 37543
"São Gonçalo"; 999728
"São João da Barra"; 32747
"São João de Meriti"; 458673
"São José de Ubá"; 7003
"São José do Vale do Rio Preto"; 20251
"São Pedro da Aldeia"; 87875
"São Sebastião do Alto"; 8895
"Sapucaia"; 17525
"Saquarema"; 74234
"Seropédica"; 78186
"Silva Jardim"; 21349
"Sumidouro"; 14900
"Tanguá"; 30732
"Teresópolis"; 163746
"Trajano de Moraes"; 10289
"Três Rios"; 77432
"Valença"; 71843
"Varre-Sai"; 9475
"Vassouras"; 34410
"Volta Redonda"; 257803
